id,attempt,success,location_id,type_id
38,False,,,
39,False,,,
40,False,,,
41,False,,,
42,False,,,
43,False,,,
44,False,,,
45,False,,,
46,False,,,
47,False,,6,3
48,False,,,
49,False,,,
50,True,False,6,3
51,True,False,3,1
52,False,,6,3
53,False,,,
54,True,False,3,1
55,False,,,
57,True,False,1,1
58,True,True,4,2
59,True,False,3,1
60,True,False,1,1
61,True,True,1,1
62,True,True,1,1
63,True,True,1,1
64,True,False,1,1
65,True,True,4,2
66,True,True,1,1
67,False,,1,1
68,True,True,3,1
69,True,True,4,2
70,False,,,
71,True,True,1,1
72,True,True,4,2
73,False,,,
74,True,True,4,2
75,True,True,1,1
76,True,True,3,1
77,False,,,
78,True,True,3,1
79,True,True,4,2
80,True,True,1,1
81,True,True,1,1
82,True,True,4,2
83,False,,6,3
84,True,True,4,2
85,True,False,1,1
86,True,True,5,2
87,True,True,4,2
88,False,,,
89,False,,,
90,False,,,
91,False,,,
92,True,True,1,1
93,False,,,
94,False,,,
95,False,,,
96,True,True,1,1
97,True,True,3,1
98,True,True,1,1
99,True,True,1,1
100,True,True,4,2
102,True,True,3,1
103,True,True,1,1
104,True,True,7,2
105,True,True,1,1
106,True,True,3,1
107,True,False,4,2
112,False,,,
122,True,True,3,1
123,True,True,1,1
124,True,True,1,1
125,True,True,1,1
126,True,True,4,2
127,True,True,5,2
128,True,True,1,1
131,True,True,1,1
132,True,True,7,2
133,True,False,1,1
134,True,True,4,2
135,True,True,5,2
139,True,True,4,2
140,False,,6,3
143,True,True,1,1
144,True,True,1,1
145,True,True,1,1
147,False,,6,3
148,True,True,1,1
150,True,True,1,1
151,True,True,1,1
152,True,False,1,1
153,True,True,4,2
154,True,False,1,1
155,True,True,1,1
156,True,True,3,1
157,True,True,1,1
158,True,True,1,1
159,True,True,3,1
160,True,True,1,1
161,True,True,3,1
162,True,True,14,2
163,True,True,1,1
164,True,True,3,1
165,True,True,1,1
166,True,True,14,2
167,True,True,14,2
168,True,True,14,2
169,True,True,4,2
170,True,True,1,1
171,True,True,1,1
173,True,True,7,2
174,True,True,1,1
175,True,True,3,1
176,True,False,14,2
177,True,True,1,1
178,True,True,4,2
179,True,True,1,1
180,True,True,3,1
181,False,,6,3
182,True,True,5,2
183,True,True,4,2
185,True,True,1,1
186,True,True,3,1
187,True,True,3,1
188,True,False,14,2
189,True,True,3,1
191,True,True,1,1
192,True,True,1,1
193,True,True,1,1
194,True,False,1,1
195,True,False,14,2
196,True,True,3,1
197,True,True,1,1
198,True,False,14,2
199,True,True,1,1
200,True,True,1,1
202,True,True,14,2
203,True,True,3,1
204,True,True,1,1
205,True,True,3,1
206,True,True,1,1
209,True,True,3,1
210,True,True,1,1
212,True,True,3,1
213,True,True,17,1
215,True,True,3,1
216,True,True,4,2
219,True,True,17,1
220,True,True,1,1
222,True,True,1,1
224,True,True,3,1
226,True,True,17,1
227,True,True,3,1
228,True,True,17,1
229,True,True,3,1
230,True,True,17,1
231,True,True,4,2
232,True,True,17,1
234,True,True,17,1
235,True,True,4,2
236,True,True,7,2
237,True,True,7,2
238,True,True,17,1
240,True,True,17,1
241,True,True,1,1
242,True,True,3,1
243,True,True,17,1
244,True,True,3,1
246,True,True,3,1
247,True,True,17,1
249,True,True,3,1
250,True,True,3,1
252,False,,6,3
253,False,,6,3
254,False,,6,3
255,True,True,7,2
256,True,True,17,1
257,True,True,3,1
258,True,True,17,1
259,True,True,4,2
260,True,True,1,1
261,True,True,17,1
262,True,True,3,1
263,False,,6,8
264,True,True,4,2
265,True,True,5,2
266,False,,6,8
267,True,True,4,2
268,True,True,5,2
270,True,True,17,1
271,True,True,17,1
272,True,True,17,1
273,True,True,3,1
274,True,True,1,1
275,True,True,1,1
276,True,True,3,1
277,True,True,3,1
278,True,True,17,1
279,True,True,3,1
280,True,True,3,1
281,True,True,4,2
282,True,True,4,2
283,True,True,4,2
287,True,True,7,2
288,True,True,17,1
289,True,True,3,1
290,True,True,1,1
291,False,,16,3
292,True,True,17,1
293,True,True,17,1
295,True,True,3,1
296,True,True,1,1
297,True,True,3,1
298,True,True,17,1
299,True,True,5,2
300,True,True,4,2
301,False,,6,3
302,True,True,17,1
304,True,True,1,1
305,False,,6,8
306,False,,6,8
307,False,,6,8
308,True,True,1,1
309,True,True,3,1
310,True,True,3,1
311,True,True,17,1
312,False,,6,3
313,False,,6,3
314,True,True,1,1
316,True,True,3,1
317,True,True,5,2
318,True,True,17,1
319,True,True,7,2
320,True,True,4,2
321,True,True,1,1
322,True,True,3,1
323,True,True,17,1
324,True,True,7,2
325,True,True,3,1
326,True,True,17,1
327,True,True,3,1
328,True,True,4,2
329,True,True,4,2
330,True,True,17,1
331,True,True,17,1
332,True,True,1,1
334,True,True,1,1
335,True,True,17,1
336,True,True,17,1
337,True,True,4,2
338,True,True,17,1
339,True,True,1,1
340,True,True,3,1
341,True,True,17,1
342,True,True,17,1
343,True,True,1,1
344,True,True,1,1
345,True,True,1,1
346,True,True,3,1
347,True,True,17,1
348,True,True,3,1
351,True,True,1,1
352,True,True,7,2
353,True,True,17,1
354,True,True,7,2
355,True,True,3,1
364,True,True,3,1
1151,True,True,4,2
1152,True,True,3,1
1153,True,True,3,1
1154,True,True,1,1
1155,True,True,3,1
1156,True,True,3,1
1157,True,True,17,1
1158,True,True,3,1
1159,False,,,
1163,False,,6,3
1164,True,True,4,2
1165,True,True,5,2
1166,True,True,17,1
1167,True,True,3,1
1168,True,True,17,1
1169,True,False,16,3
1171,True,True,7,2
1173,True,True,17,1
1175,True,True,3,1
1176,True,True,3,1
1177,True,True,17,1
1178,True,True,7,2
1179,True,True,1,1
1180,True,True,17,1
1181,True,True,1,1
1182,True,True,17,1
1183,True,True,1,1
1184,True,True,17,1
1185,True,True,17,1
1193,True,True,1,1
1194,True,True,1,1
1195,True,True,7,2
1196,True,True,3,1
1197,True,True,1,1
1198,True,True,1,1
1199,True,True,1,1
1200,True,True,1,1
1201,True,True,3,1
1202,True,True,17,1
1203,True,True,17,1
1204,True,True,3,1
1205,True,True,3,1
1206,True,True,17,1
1207,True,True,3,1
1208,True,True,3,1
1209,True,True,17,1
1210,True,True,17,1
1211,True,True,3,1
1212,True,True,4,2
1217,True,True,1,1
1218,True,True,17,1
1219,True,True,3,1
1220,True,True,17,1
1221,True,True,3,1
1222,True,True,17,1
1223,True,True,3,1
1224,True,True,17,1
1225,True,True,3,1
1226,True,True,17,1
1230,True,True,1,1
1231,True,True,5,2
1240,True,True,1,1
1241,True,True,4,2
1244,True,True,1,1
1259,True,True,3,1
1260,True,True,3,1
1261,True,True,17,1
1262,True,True,17,1
1264,True,True,1,1
1265,True,True,1,1
1266,True,True,1,1
1267,True,True,1,1
1268,True,True,4,2
1271,True,True,7,2
1272,True,True,7,2
1275,True,False,16,3
1284,True,True,4,2
1285,True,True,4,2
1286,True,True,4,2
1287,True,True,17,1
1291,True,True,17,1
